created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
"Thu Aug 31 23:22:13 +0000 2023;1697389356540125251;""Ganjar Pranowo pemimpin yang penuh dengan toleransi beragama https://t.co/YNg6n0dOtn"";0;0;0;0;in;1619919747063377920;1697389356540125251;arwana_je;https://twitter.com/arwana_je/status/1697389356540125251",,,,
"Thu Aug 31 23:22:13 +0000 2023;1697389356187836740;""@Miduk17 @ganjarpranowo Pak ganjar cocok jadi menteri pendidikan... Bagus untuk pendidikan"";0;0;0;0;in;210756830;1697117678044078162;johneliad;https://twitter.com/johneliad/status/1697389356187836740",,,,
"Thu Aug 31 23:21:54 +0000 2023;1697389279448797614;""@ch_chotimah2 @AgusYudhoyono Jadi : PETUGAS PARTAI ITU PRILAKUNYA BURUK ya @ch_chotimah2 ??? Si @ganjarpranowo itu juga jelas-jelas petugas partai. Kalau tidak percaya",,,,
"Thu Aug 31 23:21:38 +0000 2023;1697389212566421896;""@DPP_PKB belum final menerima menjadi cawapresnya @aniesbaswedan karena para kiyai sepuh belum bergerak",,,,
"Thu Aug 31 23:21:38 +0000 2023;1697389209827545367;""@skyeagle805 @WagimanDeep212_ @ganjarpranowo Naaah...ini cucokkk juga buka perusahan flm bokep"";0;1;0;1;in;1667233216091279363;1683414767858507777;AtokBadar75777;https://twitter.com/AtokBadar75777/status/1697389209827545367",,,,
"Thu Aug 31 23:21:30 +0000 2023;1697389176029896909;""Ganjar Pranowo hadiri silahturahmi kumpulan gereja kota semarang https://t.co/D60ihagdzH"";0;0;0;0;in;1619919747063377920;1697389176029896909;arwana_je;https://twitter.com/arwana_je/status/1697389176029896909",,,,
"Thu Aug 31 23:21:17 +0000 2023;1697389124213490121;""Ganjar Pranowo : SDM sekarang mesti kita genjot sehingga yang memelihara dan mengembangkan infrastruktur ke depan termasuk yang orientasi pada teknologi ramah lingkungan",,,,
"Thu Aug 31 23:21:13 +0000 2023;1697389104236024223;""Wan Ngibul dipercaya🤣🤣🤣🤣 @PDemokrat gabung @ganjarpranowo aja",,,,
"Thu Aug 31 23:20:57 +0000 2023;1697389038658093421;""Calon Presiden kita nih guys 🤟🏻🤟🏻🤟🏻 #ganjarpranowo #jokowidodo #ganjarpranowo #indonesiamaju https://t.co/dNbdgcDsy1"";0;0;0;0;in;1634564870099316736;1697389038658093421;AprillioDandy;https://twitter.com/AprillioDandy/status/1697389038658093421",,,,
"Thu Aug 31 23:20:48 +0000 2023;1697388999202193910;""@ch_chotimah2 @ganjarpranowo Bikin SMK satu saja bangga banget",,,,
"Thu Aug 31 23:20:35 +0000 2023;1697388946169491490;""@__AnakKolong @EdiArif96983478 @feroferraferri @budimandjatmiko @ganjarpranowo Gak berubah dong"";0;0;0;1;in;1175441518095503360;1697273217059369219;ediwanqu;https://twitter.com/ediwanqu/status/1697388946169491490",,,,
"Thu Aug 31 23:20:34 +0000 2023;1697388940452675792;""@journalizm_ @ganjar_pranowo bangettt😂"";0;0;0;1;in;845979222153703425;1697207891479109831;N_i_u_584;https://twitter.com/N_i_u_584/status/1697388940452675792",,,,
"Thu Aug 31 23:20:30 +0000 2023;1697388925499957733;""Ganjar Pranowo berhasil ciptakan kebersamaan yang terus bangun di Jateng https://t.co/38pSNouXA6"";0;0;0;0;in;1619919747063377920;1697388925499957733;arwana_je;https://twitter.com/arwana_je/status/1697388925499957733",,,,
"Thu Aug 31 23:20:11 +0000 2023;1697388845657117002;""@SETYAKI22965702 @ganjarpranowo keren 🤟🤟"";0;1;0;1;hu;1566193907355922432;1697380806682128454;bungalotus25;https://twitter.com/bungalotus25/status/1697388845657117002",,,,
